T1,R1,T2,R2
1073.592631,0.000116966,1024.994064,7.81E-07
1124.086903,0.000473912,1060.113563,2.15822E-06
1160.383457,0.000971974,1102.331141,7.61735E-06
1184.633571,0.002326013,1083.370337,3.6413E-06
1228.602764,0.007648096,1131.080645,1.50558E-05
1253.358778,0.013468727,1230.8749,0.000312473
1294.899555,0.041544263,1210.167844,0.000159661
1341.286129,0.099955871,1172.941117,5.66604E-05
1351.320379,0.182830411,1262.541178,0.000783696
1392.494054,0.348584269,1281.442711,0.001373653
1414.643581,0.79115549,1314.462205,0.003456049
1445.421599,1.161690366,1344.691488,0.006711255
1481.250596,3.119928297,1381.058926,0.017817437
1524.827813,6.381020791,1420.210642,0.047887402
1568.409091,12.6921054,1456.233448,0.108596291
1620.54145,27.77555121,1489.218116,0.224296139
1663.294771,45.42298836,1525.003335,0.436565931
1732.549646,104.6480362,1583.458499,1.027087789
1784.60471,168.1189952,1631.041935,2.608529292
1845.454139,300.0867555,1681.601567,5.048350538
1903.378346,495.5180682,1753.413031,12.7077866
1958.373978,774.5398533,1808.390931,22.43264773
2023.385956,1359.922917,1866.30308,40.23602978
2071.299686,1920.259802,1930.079858,76.51091162
2153.432751,3584.387893,1976.639608,114.1698782
2197.084099,4408.804036,2051.046571,240.4508756
2266.396104,6864.132945,2103.111243,361.651099
2310.048551,8379.525912,2163.974987,585.1599045
2384.5064,12448.15715,2216.167906,845.2663696
2428.161104,14962.88957,2276.92191,1254.270647
2502.623467,21550.35246,2329.123255,1710.053779
2546.277794,25970.80102,2389.882375,2450.009882
2620.74595,35947.41324,2442.086051,3287.296525
2664.40607,41633.41198,2502.847804,4625.439827
2738.880169,55324.75159,2550.77959,5770.479538
2790.242568,66871.75947,2615.823164,8157.469888
2862.160158,81286.07169,2659.478921,9734.828899
2905.826447,90242.95949,2728.807101,13564.66834
2980.307467,114359.57,2775.035452,15847.79599
3026.542782,127375.4871,2846.937709,21400.22669
3103.596934,157445.8044,2893.168575,24574.59272
3149.834765,172366.435,2970.210926,32937.08023
3226.892721,207569.8544,3016.441406,37923.25688
3273.131712,225438.5401,3088.350562,48842.83654
3350.193022,265308.2545,3134.584459,54933.88696
3396.432915,286368.5387,3211.635516,69359.53344
3473.49603,332865.8332,3257.870767,77287.91704
3519.737665,355023.5592,3334.924532,95787.62655
3596.802199,408672.0928,3381.16133,105609.8808
3643.045252,431655.0518,3458.21761,128650.2472
3720.110624,494034.6278,3504.45615,140158.4152
3766.35213,527387.1408,3581.512945,170132.9703
3848.560756,586255.1498,3627.752388,184207.6644
3894.805809,610792.2902,3704.812343,218808.5597
3971.87505,680751.1132,3751.052882,235135.331
4018.121199,703930.2154,3828.115352,274525.5464
4095.190246,785598.6135,3874.356213,294358.0169
4141.436588,811270.4696,3951.420166,340190.78
4218.506796,898212.3959,3997.661672,363157.2215
4264.754815,916958.1452,4074.726335,417665.2096
4346.96731,992615.1471,4120.969969,439401.2469
4393.210622,1046584.651,4198.037469,495612.9957
4470.286118,1117470.02,4244.278975,529072.065
4516.535233,1132245.804,4321.349505,584477.4079
4593.611696,1200938.596,4370.163331,611988.3155
4639.857006,1248990.96,4449.800089,691436.5583
4716.935468,1306725.623,4496.043787,727098.4623
4763.178779,1377773.635,4573.115736,795463.0584
4840.258789,1426240.23,4619.361305,825828.9912
4889.074308,1476133.271,4696.434995,892750.9631
4958.443692,1550447.981,4742.681659,919887.6915
,,4819.752899,1011287.528
,,4866.002014,1024659.311
,,4948.212059,1128003.682
,,4991.893169,1131247.648
