Pressure (atm),Temperature (K),W1_Energy_1_P4->P3,W1_Energy_1_P1->P2,W1_Energy_1_P1->P3,W1_Energy_1_P2->P3,W1_Energy_1_P2->P4,W1_Energy_1_P1->P4,W1_Frequencies_1_P4->P3,W1_Frequencies_1_P1->P2,W1_Frequencies_1_P1->P3,W1_Frequencies_1_P2->P3,W1_Frequencies_1_P2->P4,W1_Frequencies_1_P1->P4
1.0,200.0,-2.300938466270955e-09,0.0033715899870509127,-0.008673786984767676,-0.0007240522239496945,0.00022901345225192926,0.011970347331378285,-2.6757096739127405e-09,0.10688315825477396,-0.34277432002749986,-0.023526647278418827,0.008029360614963846,0.396430237189335
1.0,250.0,8.349102394133493e-08,0.0023818750107013854,-0.00873547875598157,-0.0005116665097463064,0.00012750229101607106,0.00783202249331358,9.642786463842388e-08,0.07583638102909228,-0.3337240914368858,-0.016547188167511887,0.004452823431900134,0.2592660242947515
1.0,300.0,-9.785044854885386e-07,0.0017982259711057395,-0.008396164042659918,-0.00038656349880144945,8.010674306791195e-05,0.005428731334195249,0.0004622950766193734,0.057688817584865625,-0.31705826078172433,-0.012291766736971247,0.002596307657720426,0.17779708822264015
1.0,350.0,3.744394789387837e-05,0.0014219206195470956,-0.008026562306407869,-0.00029480738039084004,2.3612672978437905e-06,0.0038165764194449513,0.0005130181826643934,0.04603033910248306,-0.29936978800131003,-0.009475580851018487,0.0015993799640778438,0.12638508468275025
1.0,400.0,7.510176214960058e-05,0.001179831390700259,-0.007602395498934779,-0.00022143255141114315,-7.891125954367241e-06,0.0027438351101241455,0.0002655948272852424,0.03787801390871834,-0.282418676280104,-0.007479672279014275,0.0009381043390071022,0.09216009025325023
1.0,450.0,3.1420224645775954e-05,0.0009529596447004515,-0.00718412572602445,-0.00018730383346587864,1.5423905914426277e-05,0.0020267066850568954,4.498706490793857e-05,0.03194810387197812,-0.26675285167478235,-0.0060491372995104455,0.000610997633330171,0.06850033703358116
1.0,500.0,-8.827239789000617e-06,0.0007948952317734703,-0.006806615089076875,-0.0001586372628913052,2.449780274412526e-05,0.0015433092970678817,-6.396350670208753e-05,0.02744206098259701,-0.25249818607902563,-0.004970037428625508,0.0004349097423051406,0.05165153393045976
1.0,550.0,-7.813902304066577e-06,0.0007125267149837419,-0.006471876887931456,-0.0001220432719023889,1.1963466225810044e-05,0.0012010653715139343,-8.245555565227787e-05,0.02387336165629207,-0.23955575179026242,-0.00411763682543,0.00029711088396860237,0.03935072293591855
1.0,600.0,1.0572745366495367e-05,0.0006550696454577942,-0.0061671467140198815,-8.774309304368017e-05,-4.122387738645762e-06,0.0009301005860720767,-5.1591546425976184e-05,0.02095892913765836,-0.22774129539547053,-0.003436785086722924,0.0001826620887930334,0.030175933434260126
1.0,650.0,-3.4155253885432043e-06,0.0005528520362950673,-0.005877218857195247,-7.520653432720199e-05,5.341837444646687e-07,0.0006811165937462925,-4.49922578032403e-06,0.01853475862642704,-0.21686331611005924,-0.0029083287722897993,0.00012725875696696057,0.02320412417334724
